ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-13,169.41661799999997,138.6042124302247,189.94309085476894,169.41661799999997,169.41661799999997,-4.984967064000046,-4.984967064000046,-4.984967064000046,-4.984967064000046,-4.984967064000046,-4.984967064000046,0.0,0.0,0.0,164.43165093599993
2022-01-14,170.15063026739725,142.814447152206,190.88868139762994,170.15063026739725,170.15063026739725,-3.289668485474827,-3.289668485474827,-3.289668485474827,-3.289668485474827,-3.289668485474827,-3.289668485474827,0.0,0.0,0.0,166.8609617819224
2022-01-17,172.35266706958902,143.05776738817366,193.27381714102125,172.35266706958902,172.35266706958902,-2.7426262349816564,-2.7426262349816564,-2.7426262349816564,-2.7426262349816564,-2.7426262349816564,-2.7426262349816564,0.0,0.0,0.0,169.61004083460736
2022-01-18,173.0866793369863,142.24430398324384,192.85097043523066,173.0866793369863,173.0866793369863,-3.177660246024582,-3.177660246024582,-3.177660246024582,-3.177660246024582,-3.177660246024582,-3.177660246024582,0.0,0.0,0.0,169.90901909096172
2022-01-19,173.82069160438354,144.78762809892422,193.08672203413826,173.82069160438354,173.82069160438354,-5.286200794313768,-5.286200794313768,-5.286200794313768,-5.286200794313768,-5.286200794313768,-5.286200794313768,0.0,0.0,0.0,168.53449081006977
2022-01-20,174.55470387178082,145.27220944221014,194.03436832781662,174.55470387178082,174.55470387178082,-4.984967064002807,-4.984967064002807,-4.984967064002807,-4.984967064002807,-4.984967064002807,-4.984967064002807,0.0,0.0,0.0,169.569736807778
2022-01-21,175.28871613917804,146.53812811448324,199.5247743600355,175.28871613917804,175.28871613917804,-3.2896684854646887,-3.2896684854646887,-3.2896684854646887,-3.2896684854646887,-3.2896684854646887,-3.2896684854646887,0.0,0.0,0.0,171.99904765371335
2022-01-24,177.49075294136983,150.42928908428118,201.78121496525665,177.49075294136983,177.49075294136983,-2.742626234944685,-2.742626234944685,-2.742626234944685,-2.742626234944685,-2.742626234944685,-2.742626234944685,0.0,0.0,0.0,174.74812670642515
2022-01-25,178.22476520876708,149.75951646859414,200.56355331457985,178.22476520876708,178.22476520876708,-3.1776602460175583,-3.1776602460175583,-3.1776602460175583,-3.1776602460175583,-3.1776602460175583,-3.1776602460175583,0.0,0.0,0.0,175.04710496274953
2022-01-26,178.95877747157382,150.59582590860356,198.71616206523734,178.95877747157382,178.95877747157382,-5.286200794314542,-5.286200794314542,-5.286200794314542,-5.286200794314542,-5.286200794314542,-5.286200794314542,0.0,0.0,0.0,173.6725766772593
2022-01-27,179.69278973438054,147.5547203861191,198.8770508638793,179.69278973438054,179.69278973438054,-4.984967064005568,-4.984967064005568,-4.984967064005568,-4.984967064005568,-4.984967064005568,-4.984967064005568,0.0,0.0,0.0,174.70782267037498
2022-01-28,180.42680199718725,153.04871499590942,200.35710257093888,180.42680199718725,180.42680199718725,-3.2896684854545493,-3.2896684854545493,-3.2896684854545493,-3.2896684854545493,-3.2896684854545493,-3.2896684854545493,0.0,0.0,0.0,177.1371335117327
2022-01-31,182.62883878560737,154.37938230267582,204.10583364746634,182.62883878560737,182.62883878560737,-2.7426262349534123,-2.7426262349534123,-2.7426262349534123,-2.7426262349534123,-2.7426262349534123,-2.7426262349534123,0.0,0.0,0.0,179.88621255065397
2022-02-01,183.3628510484141,156.1937335468889,204.7218487794577,183.3628510484141,183.3628510484141,-3.1776602460200727,-3.1776602460200727,-3.1776602460200727,-3.1776602460200727,-3.1776602460200727,-3.1776602460200727,0.0,0.0,0.0,180.185190802394
2022-02-02,184.0968633112208,154.94814416717898,201.8180880726684,184.0968633112208,184.0968633112208,-5.286200794316057,-5.286200794316057,-5.286200794316057,-5.286200794316057,-5.286200794316057,-5.286200794316057,0.0,0.0,0.0,178.81066251690476
2022-02-03,184.8308755740275,155.2321657229633,205.65916415052615,184.8308755740275,184.8308755740275,-4.984967064008329,-4.984967064008329,-4.984967064008329,-4.984967064008329,-4.984967064008329,-4.984967064008329,0.0,0.0,0.0,179.84590851001917
2022-02-04,185.56488783683423,158.18505985252204,205.78473750477878,185.56488783683423,185.56488783683423,-3.2896684854976446,-3.2896684854976446,-3.2896684854976446,-3.2896684854976446,-3.2896684854976446,-3.2896684854976446,0.0,0.0,0.0,182.27521935133657
2022-02-07,187.76692464467223,160.3826698928272,208.69972774160544,187.76692464467223,187.76692464467223,-2.7426262349621395,-2.7426262349621395,-2.7426262349621395,-2.7426262349621395,-2.7426262349621395,-2.7426262349621395,0.0,0.0,0.0,185.0242984097101
2022-02-08,188.50093691395153,162.2586655187894,211.63229117138934,188.50093691395153,188.50093691395153,-3.177660246017818,-3.177660246017818,-3.177660246017818,-3.177660246017818,-3.177660246017818,-3.177660246017818,0.0,0.0,0.0,185.32327666793373
2022-02-09,189.2349491832309,159.80423275013692,211.0641112129901,189.2349491832309,189.2349491832309,-5.28620079431609,-5.28620079431609,-5.28620079431609,-5.28620079431609,-5.28620079431609,-5.28620079431609,0.0,0.0,0.0,183.9487483889148
2022-02-10,189.96896145251023,161.02640424121347,211.20884076831595,189.96896145251023,189.96896145251023,-4.984967063997432,-4.984967063997432,-4.984967063997432,-4.984967063997432,-4.984967063997432,-4.984967063997432,0.0,0.0,0.0,184.9839943885128
2022-02-11,190.70297372178956,162.01852605970132,210.56431446723994,190.70297372178956,190.70297372178956,-3.2896684854772476,-3.2896684854772476,-3.2896684854772476,-3.2896684854772476,-3.2896684854772476,-3.2896684854772476,0.0,0.0,0.0,187.4133052363123
2022-02-14,192.90501052962753,166.2901268955075,213.9670109432343,192.90501052962753,192.90501052962753,-2.7426262349708677,-2.7426262349708677,-2.7426262349708677,-2.7426262349708677,-2.7426262349708677,-2.7426262349708677,0.0,0.0,0.0,190.16238429465668
2022-02-15,193.63902279890686,165.64709284012827,215.46056699874353,193.63902279890686,193.63902279890686,-3.1776602460220023,-3.1776602460220023,-3.1776602460220023,-3.1776602460220023,-3.1776602460220023,-3.1776602460220023,0.0,0.0,0.0,190.46136255288485
2022-02-16,194.37303506818623,164.41535654953998,214.17219250862175,194.37303506818623,194.37303506818623,-5.2862007943176055,-5.2862007943176055,-5.2862007943176055,-5.2862007943176055,-5.2862007943176055,-5.2862007943176055,0.0,0.0,0.0,189.08683427386862
2022-02-17,195.10704733850935,165.5781653145975,214.27681089814612,195.10704733850935,195.10704733850935,-4.984967064000194,-4.984967064000194,-4.984967064000194,-4.984967064000194,-4.984967064000194,-4.984967064000194,0.0,0.0,0.0,190.12208027450916
2022-02-18,195.84105960883252,167.96071570755035,217.01699436250263,195.84105960883252,195.84105960883252,-3.289668485477368,-3.289668485477368,-3.289668485477368,-3.289668485477368,-3.289668485477368,-3.289668485477368,0.0,0.0,0.0,192.55139112335516
2022-02-21,198.04309641980197,169.263977659353,220.9503725822317,198.04309641980197,198.04309641980197,-2.7426262349702606,-2.7426262349702606,-2.7426262349702606,-2.7426262349702606,-2.7426262349702606,-2.7426262349702606,0.0,0.0,0.0,195.3004701848317
