Date,Price,Open,High,Low,Volume,Rate
13.01.2022,"189,10","187,70","194,50","186,60","4,74M","-0,05%"
14.01.2022,"186,60","189,10","190,80","184,70","3,27M","-1,32%"
17.01.2022,"189,10","188,90","192,90","188,70","3,79M","1,34%"
18.01.2022,"178,80","188,20","189,40","178,80","2,89M","-5,45%"
19.01.2022,"186,80","177,60","187,50","172,90","5,66M","4,47%"
20.01.2022,"180,40","187,00","188,60","177,70","5,21M","-3,43%"
21.01.2022,"179,20","178,80","181,40","174,70","5,12M","-0,67%"
24.01.2022,"166,40","177,90","177,90","164,70","6,15M","-7,14%"
25.01.2022,"168,00","166,60","169,40","162,10","4,23M","0,96%"
26.01.2022,"167,00","168,00","170,90","166,60","3,58M","-0,60%"
27.01.2022,"172,20","163,00","172,70","162,50","3,45M","3,11%"
28.01.2022,"168,70","172,50","175,00","167,20","3,53M","-2,03%"
31.01.2022,"171,20","171,70","173,60","170,30","3,08M","1,48%"
01.02.2022,"169,20","172,00","173,50","167,80","2,34M","-1,17%"
02.02.2022,"169,50","170,00","173,30","169,30","3,10M","0,18%"
03.02.2022,"167,40","169,00","173,00","166,00","2,46M","-1,24%"
04.02.2022,"165,50","169,00","171,20","165,50","3,21M","-1,14%"
07.02.2022,"171,50","165,70","171,50","162,00","4,87M","3,63%"
08.02.2022,"183,70","172,50","185,00","171,60","7,92M","7,11%"
09.02.2022,"186,50","184,50","190,70","182,60","7,27M","1,52%"
10.02.2022,"190,00","186,50","191,00","184,90","5,45M","1,88%"
11.02.2022,"197,70","188,50","197,70","188,30","8,16M","4,05%"
14.02.2022,"193,80","195,00","198,50","190,30","7,77M","-1,97%"
15.02.2022,"194,70","194,20","197,90","194,10","4,71M","0,46%"
16.02.2022,"195,60","195,80","198,80","192,90","5,50M","0,46%"
17.02.2022,"191,00","197,60","198,30","190,60","7,44M","-2,35%"
18.02.2022,"192,30","192,10","194,20","189,70","3,78M","0,68%"
21.02.2022,"189,40","194,40","196,70","187,60","4,16M","-1,51%"
22.02.2022,"184,10","186,50","189,30","182,90","5,32M","-2,80%"
23.02.2022,"183,90","185,40","186,70","182,90","3,19M","-0,11%"
24.02.2022,"166,90","170,70","173,00","165,60","4,05M","-9,24%"
25.02.2022,"179,90","171,00","181,60","170,00","4,60M","7,79%"
28.02.2022,"192,90","177,90","194,00","175,30","8,91M","7,23%"
01.03.2022,"193,10","193,80","195,60","189,50","4,59M","0,10%"
02.03.2022,"192,30","194,10","200,50","191,30","6,34M","-0,41%"
03.03.2022,"196,60","195,60","199,20","190,10","6,77M","2,24%"
04.03.2022,"195,50","196,20","198,80","194,70","4,70M","-0,56%"
07.03.2022,"193,10","198,00","202,90","193,10","5,68M","-1,23%"
08.03.2022,"195,60","194,00","196,70","193,50","5,14M","1,29%"
09.03.2022,"196,00","198,40","200,60","195,80","5,62M","0,20%"
10.03.2022,"205,90","195,60","206,60","193,70","11,49M","5,05%"
11.03.2022,"204,90","205,00","206,10","200,00","5,90M","-0,49%"
14.03.2022,"202,80","205,20","205,70","202,80","2,40M","-1,02%"
15.03.2022,"194,00","200,00","201,70","194,00","4,96M","-4,34%"
16.03.2022,"192,00","196,00","197,00","191,10","4,24M","-1,03%"
17.03.2022,"198,30","192,80","200,50","192,80","6,91M","3,28%"
18.03.2022,"196,00","200,20","200,80","196,00","3,13M","-1,16%"
21.03.2022,"203,90","199,50","204,50","199,30","4,53M","4,03%"
22.03.2022,"206,60","204,20","208,30","203,20","5,39M","1,32%"
23.03.2022,"205,70","207,40","209,50","204,70","4,19M","-0,44%"
24.03.2022,"205,30","206,20","210,30","205,30","5,03M","-0,19%"
25.03.2022,"206,30","206,00","208,80","205,40","2,42M","0,49%"
28.03.2022,"205,30","206,30","209,40","203,30","2,96M","-0,48%"
29.03.2022,"206,40","206,10","210,30","203,70","6,91M","0,54%"
30.03.2022,"206,40","207,70","208,30","206,00","2,72M","0,00%"
31.03.2022,"214,40","206,10","215,30","206,00","6,39M","3,88%"
01.04.2022,"227,40","214,40","230,00","211,50","9,78M","6,06%"
04.04.2022,"241,90","232,00","242,50","230,40","8,54M","6,38%"
05.04.2022,"241,00","243,00","247,30","238,30","7,28M","-0,37%"
06.04.2022,"240,70","240,30","247,90","239,80","6,54M","-0,12%"
07.04.2022,"238,40","242,00","242,90","237,80","5,04M","-0,96%"
08.04.2022,"244,20","240,20","245,20","240,00","4,81M","2,43%"
11.04.2022,"246,70","244,20","246,80","240,60","5,32M","1,02%"
12.04.2022,"253,30","247,00","254,40","245,50","7,11M","2,68%"
13.04.2022,"256,20","257,00","264,00","255,90","7,32M","1,14%"
14.04.2022,"259,20","259,00","261,40","254,40","4,52M","1,17%"
15.04.2022,"259,70","259,50","262,90","259,00","2,71M","0,19%"
18.04.2022,"251,50","260,10","262,20","250,90","7,09M","-3,16%"
19.04.2022,"255,80","252,30","257,80","252,20","8,61M","1,71%"
20.04.2022,"254,50","256,50","259,00","253,00","6,07M","-0,51%"
21.04.2022,"257,50","254,50","258,80","254,50","4,24M","1,18%"
22.04.2022,"254,00","258,60","261,60","250,60","6,90M","-1,36%"
25.04.2022,"259,40","252,00","261,30","249,20","5,49M","2,13%"
26.04.2022,"245,00","259,00","259,00","242,50","7,41M","-5,55%"
27.04.2022,"245,50","245,00","247,20","240,60","5,18M","0,20%"
28.04.2022,"238,00","246,10","249,10","238,00","4,17M","-3,05%"
29.04.2022,"234,20","239,30","240,50","233,00","6,05M","-1,60%"
05.05.2022,"245,30","243,40","250,00","242,50","5,79M","4,74%"
06.05.2022,"255,20","243,30","255,20","242,50","7,88M","4,04%"
09.05.2022,"245,30","251,90","253,40","243,10","8,57M","-3,88%"
10.05.2022,"245,50","246,50","251,40","243,60","5,57M","0,08%"
11.05.2022,"251,80","246,50","252,00","243,60","7,81M","2,57%"
12.05.2022,"252,30","249,00","254,80","245,00","8,03M","0,20%"
13.05.2022,"256,20","254,10","257,90","252,60","4,95M","1,55%"
16.05.2022,"256,70","257,00","262,00","256,60","4,59M","0,20%"
17.05.2022,"257,00","258,50","260,60","255,40","3,67M","0,12%"
18.05.2022,"251,00","257,00","258,80","251,00","3,12M","-2,33%"
20.05.2022,"248,00","249,70","252,90","248,00","2,41M","-1,20%"
23.05.2022,"248,60","250,00","250,30","242,00","3,33M","0,24%"
24.05.2022,"244,40","248,70","250,80","244,00","2,39M","-1,69%"
25.05.2022,"249,40","245,10","250,30","245,10","2,47M","2,05%"
26.05.2022,"255,10","249,40","258,00","247,40","3,86M","2,29%"
27.05.2022,"250,40","254,50","256,20","250,20","2,89M","-1,84%"
30.05.2022,"259,00","253,60","260,90","253,60","4,14M","3,43%"
31.05.2022,"271,10","268,00","280,00","267,60","11,60M","4,67%"
01.06.2022,"271,40","274,00","277,50","270,50","4,30M","0,11%"
02.06.2022,"271,00","272,00","272,70","268,30","3,46M","-0,15%"
03.06.2022,"274,30","272,00","276,50","271,70","3,99M","1,22%"
06.06.2022,"281,50","276,00","284,50","276,00","3,68M","2,62%"
07.06.2022,"286,40","282,50","286,50","278,60","3,09M","1,74%"
08.06.2022,"271,20","288,10","294,60","270,00","4,28M","-5,31%"
09.06.2022,"278,70","271,70","278,70","270,50","3,78M","2,77%"
10.06.2022,"269,00","276,00","279,50","268,50","2,58M","-3,48%"
13.06.2022,"271,60","268,40","273,90","267,50","2,53M","0,97%"
14.06.2022,"270,40","273,30","273,70","264,00","2,59M","-0,44%"
15.06.2022,"267,40","270,40","271,60","266,60","1,92M","-1,11%"
16.06.2022,"263,80","267,80","270,30","260,70","2,29M","-1,35%"
17.06.2022,"268,40","263,90","271,90","263,30","2,97M","1,74%"
20.06.2022,"260,40","269,40","270,80","257,10","4,82M","-2,98%"
21.06.2022,"267,30","262,60","269,00","260,60","3,21M","2,65%"
22.06.2022,"266,50","264,90","267,50","261,40","2,74M","-0,30%"
23.06.2022,"266,60","266,60","272,40","265,00","3,50M","0,04%"
24.06.2022,"266,90","267,60","270,30","264,50","2,48M","0,11%"
27.06.2022,"272,90","259,60","273,30","258,50","3,68M","2,25%"
28.06.2022,"267,20","274,90","278,90","263,90","4,11M","-2,09%"
29.06.2022,"262,30","265,70","271,50","260,40","3,51M","-1,83%"
30.06.2022,"264,50","262,40","266,70","257,40","4,36M","0,84%"
01.07.2022,"268,50","264,50","274,00","263,40","3,99M","1,51%"
04.07.2022,"264,50","270,00","274,70","264,40","3,75M","-1,49%"
05.07.2022,"255,20","265,20","266,60","253,20","2,60M","-3,52%"
06.07.2022,"244,80","255,20","255,80","242,60","5,01M","-4,08%"
07.07.2022,"244,60","246,00","247,00","238,30","5,17M","-0,08%"
08.07.2022,"243,10","243,70","246,30","242,30","975,35K","-0,61%"
13.07.2022,"233,20","239,90","239,90","231,00","3,34M","-4,07%"
14.07.2022,"227,80","233,30","235,30","227,70","2,64M","-2,32%"
18.07.2022,"243,50","234,00","243,50","233,20","3,70M","6,89%"
19.07.2022,"244,60","242,00","250,40","240,60","3,96M","0,45%"
20.07.2022,"254,50","244,70","254,50","242,60","3,52M","4,05%"
21.07.2022,"249,10","255,00","256,00","248,30","3,20M","-2,12%"
22.07.2022,"248,10","252,00","254,30","246,70","2,61M","-0,40%"
25.07.2022,"253,00","247,50","253,30","247,20","1,82M","1,98%"
26.07.2022,"257,80","256,10","264,70","256,00","3,04M","1,90%"
27.07.2022,"257,40","259,40","260,50","255,30","2,66M","-0,16%"
28.07.2022,"257,30","260,00","263,30","257,00","3,54M","-0,04%"
29.07.2022,"268,40","257,50","268,40","256,00","4,83M","4,31%"
01.08.2022,"273,00","268,70","275,00","267,00","4,28M","1,71%"
02.08.2022,"270,80","273,50","275,80","268,50","3,91M","-0,81%"
03.08.2022,"273,00","273,00","274,80","271,50","2,67M","0,81%"
04.08.2022,"270,40","275,00","276,90","270,40","3,57M","-0,95%"
05.08.2022,"269,00","271,50","272,30","265,70","3,36M","-0,52%"
08.08.2022,"273,50","271,10","274,90","270,70","3,79M","1,67%"
09.08.2022,"284,70","274,20","285,00","273,40","6,69M","4,10%"
10.08.2022,"284,30","285,00","287,20","282,90","3,37M","-0,14%"
11.08.2022,"292,00","287,10","298,30","287,00","5,96M","2,71%"
12.08.2022,"293,60","294,60","296,00","291,20","3,62M","0,55%"
15.08.2022,"287,50","296,00","297,00","283,10","3,87M","-2,08%"
16.08.2022,"299,90","300,00","302,00","288,50","15,87M","4,31%"
17.08.2022,"305,50","301,30","306,70","297,60","7,60M","1,87%"
18.08.2022,"329,00","305,90","330,40","304,70","9,85M","7,69%"
19.08.2022,"326,90","329,10","340,30","326,00","8,99M","-0,64%"
22.08.2022,"323,20","320,30","331,40","317,10","6,55M","-1,13%"
23.08.2022,"340,90","323,20","341,40","322,90","6,43M","5,48%"
24.08.2022,"341,00","342,50","349,60","337,80","5,98M","0,03%"
25.08.2022,"348,60","343,50","351,80","341,60","4,80M","2,23%"
26.08.2022,"343,70","349,90","353,70","340,30","5,00M","-1,41%"
29.08.2022,"361,10","342,00","363,70","340,50","6,24M","5,06%"
31.08.2022,"359,30","363,00","364,00","354,00","5,53M","-0,50%"
01.09.2022,"338,90","356,40","356,40","338,90","6,56M","-5,68%"
02.09.2022,"336,80","341,20","346,60","336,60","4,97M","-0,62%"
05.09.2022,"337,50","338,00","342,80","334,60","7,26M","0,21%"
06.09.2022,"335,80","340,00","347,30","335,00","7,73M","-0,50%"
07.09.2022,"338,70","335,70","340,80","328,30","6,02M","0,86%"
08.09.2022,"335,50","341,30","346,70","334,20","5,84M","-0,94%"
09.09.2022,"335,30","338,50","342,30","334,50","4,42M","-0,06%"
12.09.2022,"337,10","337,10","341,90","333,70","7,05M","0,54%"
13.09.2022,"329,40","342,20","346,50","328,60","8,41M","-2,28%"
14.09.2022,"340,70","329,50","341,00","317,30","5,04M","3,43%"
15.09.2022,"335,00","341,50","349,40","335,00","5,08M","-1,67%"
16.09.2022,"332,80","336,00","343,00","332,80","4,25M","-0,66%"
19.09.2022,"311,50","334,00","336,20","311,50","3,41M","-6,40%"
20.09.2022,"306,50","312,50","320,80","302,20","5,78M","-1,61%"
21.09.2022,"306,30","309,00","318,90","304,50","4,70M","-0,07%"
22.09.2022,"318,40","306,30","322,10","304,80","5,35M","3,95%"
23.09.2022,"307,40","318,50","319,70","306,50","3,62M","-3,45%"
26.09.2022,"300,70","307,20","308,20","292,60","4,92M","-2,18%"
27.09.2022,"295,00","302,70","305,00","294,20","4,50M","-1,90%"
28.09.2022,"294,50","293,50","302,10","292,80","5,14M","-0,17%"
29.09.2022,"295,50","296,10","303,60","286,30","6,18M","0,34%"
30.09.2022,"289,60","296,60","299,10","287,40","5,09M","-2,00%"
03.10.2022,"318,50","295,90","318,50","295,60","7,37M","9,98%"
04.10.2022,"335,50","327,00","341,20","325,80","6,32M","5,34%"
05.10.2022,"339,50","335,50","344,40","329,00","8,20M","1,19%"
06.10.2022,"347,00","346,00","353,50","345,40","5,45M","2,21%"
07.10.2022,"346,40","347,00","350,20","343,90","3,35M","-0,17%"
10.10.2022,"345,00","349,00","352,00","344,60","3,01M","-0,40%"
11.10.2022,"343,50","345,00","348,40","340,60","3,24M","-0,43%"
12.10.2022,"337,00","343,60","344,60","335,00","3,75M","-1,89%"
13.10.2022,"330,60","337,00","338,60","328,40","4,41M","-1,90%"
14.10.2022,"334,10","336,10","339,40","332,50","5,13M","1,06%"
17.10.2022,"365,50","343,50","365,50","343,10","10,34M","9,40%"
18.10.2022,"358,80","368,00","373,80","353,60","9,62M","-1,83%"
19.10.2022,"360,00","359,50","367,30","355,70","10,07M","0,33%"
20.10.2022,"368,20","362,00","372,00","359,40","11,28M","2,28%"
21.10.2022,"380,00","370,00","383,70","369,70","8,83M","3,20%"
24.10.2022,"381,20","385,50","388,20","377,50","6,97M","0,32%"
25.10.2022,"374,50","380,20","384,40","374,50","5,59M","-1,76%"
26.10.2022,"367,90","376,80","380,20","366,00","7,38M","-1,76%"
27.10.2022,"372,80","370,50","376,90","365,30","7,41M","1,33%"
28.10.2022,"365,60","372,00","372,80","361,80","3,46M","-1,93%"
31.10.2022,"379,00","370,00","380,60","367,10","6,22M","3,67%"
01.11.2022,"390,00","382,10","391,70","381,50","6,42M","2,90%"
02.11.2022,"395,00","392,50","399,50","391,00","6,91M","1,28%"
03.11.2022,"407,50","415,00","417,80","401,60","13,12M","3,16%"
04.11.2022,"428,20","409,40","433,40","408,10","10,09M","5,08%"
07.11.2022,"448,00","432,70","452,20","425,20","12,32M","4,62%"
08.11.2022,"442,00","450,50","459,00","439,80","10,55M","-1,34%"
09.11.2022,"430,80","442,10","445,90","429,80","6,86M","-2,53%"
10.11.2022,"433,70","430,70","438,70","426,90","6,86M","0,67%"
11.11.2022,"430,30","440,50","442,80","426,00","8,25M","-0,78%"
14.11.2022,"429,60","430,00","434,40","426,40","5,11M","-0,16%"
15.11.2022,"437,50","440,00","443,30","432,10","8,19M","1,84%"
16.11.2022,"428,40","437,80","441,00","427,70","7,32M","-2,08%"
17.11.2022,"420,00","430,70","431,40","412,30","6,63M","-1,96%"
18.11.2022,"425,60","421,30","436,00","421,10","5,70M","1,33%"
21.11.2022,"432,80","426,30","437,30","426,30","5,80M","1,69%"
22.11.2022,"471,00","445,00","472,20","444,30","9,82M","8,83%"
23.11.2022,"471,10","472,40","482,80","465,50","8,11M","0,02%"
24.11.2022,"467,70","473,30","478,90","460,50","6,60M","-0,72%"
25.11.2022,"473,70","467,70","476,20","465,80","5,55M","1,28%"
28.11.2022,"470,80","474,10","483,30","470,80","6,76M","-0,61%"
29.11.2022,"485,00","474,50","485,30","466,70","7,52M","3,02%"
30.11.2022,"481,30","485,00","487,50","479,50","7,45M","-0,76%"
01.12.2022,"485,00","485,50","492,50","481,70","7,70M","0,77%"
02.12.2022,"481,10","486,00","488,80","477,60","5,70M","-0,80%"
05.12.2022,"473,20","484,00","489,00","472,70","6,80M","-1,64%"
06.12.2022,"482,40","478,90","487,70","478,90","7,13M","1,94%"
07.12.2022,"460,00","482,80","483,00","458,70","6,63M","-4,64%"
08.12.2022,"437,00","460,20","463,40","427,30","12,70M","-5,00%"
09.12.2022,"437,40","437,80","440,50","431,00","9,31M","0,09%"
12.12.2022,"454,00","438,00","459,10","436,50","8,64M","3,80%"
13.12.2022,"471,10","462,50","474,00","462,10","6,10M","3,77%"
14.12.2022,"452,10","475,50","477,70","451,80","7,11M","-4,03%"
15.12.2022,"457,40","460,10","467,60","445,00","5,97M","1,17%"
16.12.2022,"451,20","457,50","461,30","450,50","4,91M","-1,36%"
19.12.2022,"469,00","454,60","470,30","454,60","6,53M","3,95%"
20.12.2022,"473,20","470,50","476,20","465,20","6,95M","0,90%"
21.12.2022,"477,40","483,00","485,80","475,50","5,99M","0,89%"
22.12.2022,"475,10","479,00","484,50","473,00","4,36M","-0,48%"
23.12.2022,"491,00","475,30","493,90","470,20","6,65M","3,35%"
26.12.2022,"508,80","507,60","516,00","505,30","7,21M","3,63%"
27.12.2022,"506,30","500,00","514,70","499,90","5,44M","-0,49%"
28.12.2022,"507,10","508,00","513,60","496,80","6,59M","0,16%"
29.12.2022,"506,50","507,10","511,50","502,10","4,89M","-0,12%"
30.12.2022,"529,90","512,00","541,80","512,00","10,42M","4,62%"
02.01.2023,"534,80","534,00","539,50","528,90","6,66M","0,92%"
03.01.2023,"524,50","540,00","547,50","524,50","8,61M","-1,93%"
04.01.2023,"512,50","525,00","527,70","508,70","6,70M","-2,29%"
05.01.2023,"488,20","514,70","516,40","488,20","7,38M","-4,74%"
06.01.2023,"508,30","487,90","514,00","480,20","8,45M","4,12%"
09.01.2023,"500,80","513,00","515,30","495,10","6,79M","-1,48%"
10.01.2023,"475,30","498,00","498,10","473,10","5,82M","-5,09%"
11.01.2023,"473,00","477,50","493,20","471,80","9,43M","-0,48%"
12.01.2023,"514,10","489,90","516,40","470,10","10,28M","8,69%"
13.01.2023,"512,20","513,90","522,80","506,20","6,05M","-0,37%"
